main_category_name,sub_category_name,ranking,title,ori_price,dis_price,discount_percent
e쿠폰/티켓,ALL,1,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 문화상품권 5만원 /온라인 전용,46250,46250,7
e쿠폰/티켓,ALL,2,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 문화상품권 3만원 /온라인 전용,27750,27750,7
e쿠폰/티켓,ALL,3,[빕스](빕스) 15000원 할인권,1500,1500,0
e쿠폰/티켓,ALL,4,[한국투자증권](한국투자증권) 온라인 금융상품권 5만원권,50000,50000,0
e쿠폰/티켓,ALL,5,[해피머니](카드가능)(해피머니) 온라인상품권 5만원,46400,46400,7
e쿠폰/티켓,ALL,6,[배스킨라빈스]카푸치노블라스트 오리지널 (Regular),3600,3600,20
e쿠폰/티켓,ALL,7,[배스킨라빈스]하프갤론 사이즈업,22000,22000,16
e쿠폰/티켓,ALL,8,[에쓰오일](S-OIL) 모바일 주유권 5만원권,48500,48500,3
e쿠폰/티켓,ALL,9,[배스킨라빈스]샤인머스캣 말랑 블렌디드 (Large),4240,4240,20
e쿠폰/티켓,ALL,10,[구글플레이](카드가능) 기프트코드 10만원 / 구글 기프트카드,97000,97000,3
e쿠폰/티켓,ALL,11,[배스킨라빈스]바람과 함께 사라지다 블라스트(Regular),3920,3920,20
e쿠폰/티켓,ALL,12,[컬쳐랜드문화상품권]핀번호/카드/컬쳐랜드상품권/도서문화/해피머니5만원,46870,46870,0
e쿠폰/티켓,ALL,13,[해피머니](카드가능)(해피머니) 온라인상품권 5만원,48500,48500,3
e쿠폰/티켓,ALL,14,[신세계상품권](이마트/아웃백) Pays 통합 상품권 5만원,48900,48900,2
e쿠폰/티켓,ALL,15,[배스킨라빈스]펭수 마카롱,2640,2640,20
e쿠폰/티켓,ALL,16,[에쓰오일](S-OIL) 모바일주유권 5만원/ 실시간발송/ 주유상품권,48500,48500,3
e쿠폰/티켓,ALL,17,[에그머니](카드가능)(에그머니) 온라인 게임상품권 5만원,45000,45000,10
e쿠폰/티켓,ALL,18,[이디야커피](이디야커피) 1만원권,9000,9000,10
e쿠폰/티켓,ALL,19,[배스킨라빈스]펭수 아슈크림 블라스트 (Regular),3920,3920,20
e쿠폰/티켓,ALL,20,[구글플레이](카드가능) 기프트코드 3만원 / 구글 기프트카드,29100,29100,3
e쿠폰/티켓,ALL,21,[구글플레이](카드가능) 기프트코드 5만원 / 구글 기프트카드,48500,48500,3
컴퓨터/전자,ALL,1,[일렉트로룩스]에르고라피도 18V 무선청소기 ZB3113AK (중복쿠폰할인),158210,158210,0
e쿠폰/티켓,ALL,22,[구글플레이](카드가능) 기프트코드 1만원 / 구글 기프트카드,9700,9700,3
e쿠폰/티켓,ALL,23,[에쓰오일](S-OIL) 모바일 주유권 3만원권,29100,29100,3
e쿠폰/티켓,ALL,24,[해피머니](카드가능)(해피머니) 온라인상품권 3만원,29100,29100,3
e쿠폰/티켓,ALL,25,[투썸플레이스](스마일클럽) 스트로베리 초콜릿 생크림,30500,30500,10
e쿠폰/티켓,ALL,26,(아웃백/빕스)Pays 외식/카페 결합 금액권 5만원권,46000,46000,8
e쿠폰/티켓,ALL,27,[T데이터쿠폰](SK텔레콤) T데이터쿠폰 5GB,24750,24750,25
e쿠폰/티켓,ALL,28,[구글플레이](카드가능) 기프트코드 20만원 / 구글 기프트카드,194000,194000,3
e쿠폰/티켓,ALL,29,[에그머니](카드가능)(에그머니) 온라인 게임상품권 3만원,27000,27000,10
e쿠폰/티켓,ALL,30,[컬쳐랜드문화상품권](편의점통합) 모바일금액권 3만원/ 캐쉬충전불가,28500,28500,5
e쿠폰/티켓,ALL,31,[홈플러스](홈플러스) 홈플러스 상품권 모바일 교환권 10만원권,97500,97500,2
e쿠폰/티켓,ALL,32,신용카드/현대/롯데/신세계백화점상품권/10만원,94900,94900,0
e쿠폰/티켓,ALL,33,[에쓰오일](S-OIL) 모바일주유권 3만원/ 실시간발송/ 주유상품권,29100,29100,3
e쿠폰/티켓,ALL,34,[구글플레이](카드가능) 기프트코드 1만 5천원 / 구글 기프트카드,14550,14550,3
식품,ALL,1,(etv)목우촌 무항생제 훈제오리 200gX10팩 (총 2kg),28900,28900,0
여행,ALL,1,원주 오크밸리 리조트 (7/31~9/28 주중/주말특가),85900,85900,0
컴퓨터/전자,ALL,2,펭수 블루투스 마이크 스피커,59000,59000,2
컴퓨터/전자,ALL,3,[갤럭시]3in1 동시 멀티 충전케이블 5핀/8핀/C타입 1+1 2개,4900,4900,51
컴퓨터/전자,ALL,4,[로보락]로보락 로봇청소기 S5 MAX 샤오미 앱연동 LDS 2년보증,559000,559000,0
컴퓨터/전자,ALL,5,[샤오미]샤오미 미밴드5  정품 블랙 /글로벌버전/공식파트너,41900,41900,0
컴퓨터/전자,ALL,6,[LG전자]LG전자 32인치 게이밍모니터 144Hz QHD 32GK650F,449000,449000,3
컴퓨터/전자,ALL,7,신일 에어써큘레이터 스탠드형 SIF-PC30DCC 블랙,116100,116100,10
컴퓨터/전자,ALL,8,핸드폰줄 목걸이 아이폰 갤럭시 스트랩 카드 케이스,6840,6840,14
컴퓨터/전자,ALL,9,(행사) 블랙 AIRWATCH 스마트 워치 밴드 전자시계,34900,34900,30
컴퓨터/전자,ALL,10,[뽀송]2020년형 위닉스 제습기 10리터 DXAH100-JWK 습기제거,220800,220800,8
e쿠폰/티켓,ALL,35,[아웃백스테이크하우스](아웃백/빕스)Pays 외식/카페 결합 금액권 3만원권,27600,27600,8
e쿠폰/티켓,ALL,36,(스마일클럽) GS25 CAFE25 아이스아메리카노,1270,1270,25
e쿠폰/티켓,ALL,37,[구글]구글기프트코드(10만원권)(구글기프트카드 당일전송),96500,96500,0
e쿠폰/티켓,ALL,38,[빕스](빕스)Pays 외식/카페 결합 금액권 5만원권,46000,46000,8
e쿠폰/티켓,ALL,39,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 온라인문화상품권 1만원권,10000,10000,0
e쿠폰/티켓,ALL,40,[T데이터쿠폰](SK텔레콤) T단기데이터 1GB (24시간권) / 데이터쿠폰,2250,2250,25
e쿠폰/티켓,ALL,41,[구글플레이](카드가능) 기프트코드 5천원 / 구글 기프트카드,4850,4850,3
e쿠폰/티켓,ALL,42,구글기프트카드 10만원 핀번호 실시간발송,97000,97000,0
